Locality Type,Locality Name,Population,Service Category,Service,Locality Decision,Source
City,Norfolk,"245,054",Operations ,Libraries,All locations are closed; book drops remain available,https://www.norfolk.gov/4859/Frequently-Asked-Questions
City,Norfolk,"245,054",Operations ,Municipal Building Open,Closed to public until further notice,https://www.norfolk.gov/4859/Frequently-Asked-Questions
City,Norfolk,"245,054",Operations ,Office Hours,Closed to public until further notice,https://www.norfolk.gov/4859/Frequently-Asked-Questions
City,Norfolk,"245,054",Operations ,Parks & Recreation,"Dog parks, courts, playgrounds, soccer fields, small neighborhood and school parks are closed;  Beaches closed to all activities except fishing and exercise; Larger parks and boat ramps remain open",https://www.norfolk.gov/4859/Frequently-Asked-Questions
City,Norfolk,"245,054",Operations ,Public Transportation,"Operations limited under Essential Service Plan""""",https://www.norfolk.gov/4859/Frequently-Asked-Questions
City,Norfolk,"245,054",Operations ,Trash/Recycling Collection,Operating as normal; No bulk or yard waste pickup until April 13,https://www.norfolk.gov/4859/Frequently-Asked-Questions
City,Norfolk,"245,054",Operations ,Utilities,Suspension of disconnections,https://www.norfolk.gov/4859/Frequently-Asked-Questions
City,Norfolk,"245,054",Operations ,Virtual Meetings,Yes,https://www.norfolk.gov/4859/Frequently-Asked-Questions
City,Norfolk,"245,054",Planning & Zoning,"Temporary Permits for signage, etc.",Online permitting will occur but is delayed; onsite inspections are severely limited; property maintenance inspections will not occur; no code violations enforced,https://www.norfolk.gov/4859/Frequently-Asked-Questions
City,Norfolk,"245,054",Small Business/ED,Parking Changes,One hour free in metered spaces,https://www.norfolk.gov/4859/Frequently-Asked-Questions
County,Prince William County,"465,498",Budget & Finance,Change to Property Tax,Extended the Business Tangible Personal Property tax filing deadline by one month,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Governance,Council/Board of Supervisors,Yes w/ some cancellations,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Governance,Other Boards/Commissions,Cancelled,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Human Resources ,Tele-working Policy for C-19,Yes,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Operations ,In-Person Meetings,"Yes, limited",https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Operations ,Libraries,Closed until further notice,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Operations ,Municipal Building Open,Closed to public until further notice,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Operations ,Office Hours,Closed to public until further notice,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Operations ,Parks & Recreation,"Parks open to trail use only; All recreation centers, fitness centers, and playgrounds are closed",https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Operations ,Public Transportation,"Reduced service, fare collection suspended on Local and Metro Express service",https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Operations ,Trash/Recycling Collection,Landfill accepting bagged household trash and recycling only,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Operations ,Utilities,Suspension of disconnections,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Operations ,Virtual Meetings,Yes,https://emergency.pwcgov.org/agency-operational-status/
County,Prince William County,"465,498",Planning & Zoning,"Temporary Permits for signage, etc.",Applications are accepted via drop-off or mail services; plan reviews and inspections will continue,https://emergency.pwcgov.org/agency-operational-status/
City,Richmond,"226,841",Governance,Council/Board of Supervisors,Yes,http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Human Resources ,Tele-working Policy for C-19,Yes,http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Operations ,In-Person Meetings,None,http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Operations ,Libraries,All library locations and book drops closed until further notice,http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Operations ,Municipal Building Open,Closed to public until 4/12,http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Operations ,Office Hours,Closed to Public until 4/12,http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Operations ,Parks & Recreation,"Parks and trails are open; community, dog parks, playgrounds, and courts are closed; No swimming, sunbathing, or gathering in groups at the James River",http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Operations ,Public Transportation,"GRTC: Normal service; fare collection suspended, including CARE until further notice",http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Operations ,Trash/Recycling Collection,Operating as normal,http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Operations ,Utilities,Emergency services only; no disconnections,http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Operations ,Virtual Meetings,Yes,http://www.richmondgov.com/covid19/
City,Richmond,"226,841",Small Business/ED,Parking Changes,No time violations enforced; only illegal parking enforced,http://www.richmondgov.com/covid19/
City,Roanoke,"99,348",Governance,Council/Board of Supervisors,"Yes, public comment online",https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Governance,Other Boards/Commissions,Cancelled,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Human Resources ,Tele-working Policy for C-19,Employees still report as normal,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Operations ,In-Person Meetings,Yes,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Operations ,Libraries,All locations are closed; book drops remain available,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Operations ,Municipal Building Open,Closed to public until 3/31,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Operations ,Office Hours,Closed to public until 3/31,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Operations ,Parks & Recreation,"City greenways are closed, other parks are open",https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Operations ,Public Transportation,Suspending the Smartway Express Route; fare collections suspended,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Operations ,Trash/Recycling Collection,Operating as normal; Transfer stations closed to residents,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Operations ,Utilities,Suspension of disconnections,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Operations ,Virtual Meetings,Yes,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
City,Roanoke,"99,348",Planning & Zoning,"Temporary Permits for signage, etc.",Permits and plan reviews will be handled remotely; inspection and code enforcement will continue w/ social distance ,https://www.roanokeva.gov/2566/Coronavirus-COVID-19
County,Stafford County,"151,689",Governance,Council/Board of Supervisors,"Some cancellations, closed to public",https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Governance,Other Boards/Commissions,Cancelled/postponed,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Human Resources ,Tele-working Policy for C-19,Yes,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Operations ,In-Person Meetings,Yes,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Operations ,Libraries,Locations and book drops closed until 4/23,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Operations ,Municipal Building Open,Closed to public until further notice,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Operations ,Office Hours,Closed to public until further notice,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Operations ,Parks & Recreation,"Parks and trails are open; restrooms, pavilions, playgrounds closed",https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Operations ,Public Transportation,Operating on modified schedule,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Operations ,Trash/Recycling Collection,Landfills have reduced hours; closed Sundays and Mondays,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Operations ,Utilities,Suspension of disconnections,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Operations ,Virtual Meetings,Yes,https://staffordcountyva.gov/2119/COVID-19-Coronavirus
County,Stafford County,"151,689",Planning & Zoning,"Temporary Permits for signage, etc.","Submit online or by mail, drop-off by appointment only",https://staffordcountyva.gov/2119/COVID-19-Coronavirus
City,Staunton,"24,971",Budget & Finance,Change to Lodging Tax,Suspend interest and penalties from Feb. to May,
City,Staunton,"24,971",Budget & Finance,Change to Meals Tax,Suspend interest and penalties from Feb. to May,
City,Staunton,"24,971",Governance,Council/Board of Supervisors,Virtual,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Governance,Other Boards/Commissions,Cancelled,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Human Resources ,Tele-working Policy for C-19,Yes,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Operations ,In-Person Meetings,None,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Operations ,Libraries,All locations and curbside services closed until April 15,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Operations ,Municipal Building Open,Closed to public until further notice,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Operations ,Office Hours,Closed to public until further notice,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Operations ,Parks & Recreation,"City parks remain open; Playgrounds, community centers and restrooms are closed",https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Operations ,Public Transportation,"Normal service, fare collection suspended",https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Operations ,Trash/Recycling Collection,Operating as normal,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Operations ,Utilities,Suspension of disconnections; suspend interest and penalties for late payments,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Operations ,Virtual Meetings,Yes,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Planning & Zoning,"Temporary Permits for signage, etc.",Applications submitted by mail only; inspections limited to imminent safety complaints first,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
City,Staunton,"24,971",Small Business/ED,Parking Changes,Discontinuation of parking fees in public parking garages and lots,https://www.ci.staunton.va.us/departments/city-manager/covid-19-info
